word,freq.Var1,freq.Freq
经营,经营,1349
技术,技术,1271
设备,设备,1270
项目,项目,975
销售,销售,926
服务,服务,727
产品,产品,707
批准,批准,590
进出口,进出口,562
机械,机械,489
电子,电子,486
许可,许可,462
开发,开发,421
咨询,咨询,395
业务,业务,379
材料,材料,362
方可,方可,348
计算机,计算机,341
制造,制造,336
配件,配件,335
相关,相关,327
五金,五金,306
信息,信息,296
制品,制品,289
活动,活动,289
法律,法律,286
法规,法规,280
商品,商品,279
生产,生产,275
设计,设计,270
行政,行政,268
货物,货物,268
加工,加工,257
部门,部门,257
禁止,禁止,250
依法,依法,248
国家,国家,237
批发,批发,212
许可证,许可证,204
零售,零售,199
企业,企业,195
仪器,仪器,190
系统,系统,184
涉及,涉及,183
用品,用品,182
审批,审批,168
软件,软件,166
代理,代理,166
贸易,贸易,165
工程,工程,163
安装,安装,156
研发,研发,155
金属,金属,154
机电,机电,152
建筑,建筑,151
仪表,仪表,149
化学品,化学品,142
化工,化工,139
转让,转让,133
国内,国内,127
网络,网络,115
管理,管理,112
器材,器材,109
国务院,国务院,109
广告,广告,104
塑料,塑料,100
制作,制作,98
专用,专用,95
危险,危险,95
专项,专项,88
各类,各类,88
软硬件,软硬件,85
互联网,互联网,84
维修,维修,83
办公,办公,83
自动化,自动化,81
元器件,元器件,81
商务,商务,80
电器,电器,80
工业,工业,79
专营,专营,73
领域,领域,73
通讯,通讯,71
汽车,汽车,70
环保,环保,69
电信,电信,68
医疗,医疗,67
限定,限定,66
包装,包装,66
家用电器,家用电器,63
发布,发布,63
自营,自营,62
装饰,装饰,62
增值,增值,61
策划,策划,61
通信,通信,60
电气,电气,59
科技,科技,58
集成,集成,58
LED,LED,57
控制,控制,57
不锈钢,不锈钢,57
研究,研究,56
文化,文化,56
工具,工具,54
原料,原料,52
登记,登记,51
危险品,危险品,50
有效期,有效期,49
施工,施工,49
家具,家具,49
服装,服装,49
投资,投资,48
电力,电力,48
电缆,电缆,48
监控,监控,47
辅助,辅助,47
展览,展览,46
日用百货,日用百货,46
器械,器械,46
建材,建材,46
