id,cname,company_url,when,baidu_company_id,coroperate_time,icp_number,business_scope,head_title,head_keywords,head_description
1,北京智者天下科技有限公司,https://www.zhihu.com/,2017/7/10 20:09,BDV-182778983,13个月,京ICP备13052560号-1,许可经营项目:无;一般经营项目:技术开发、技术转让、技术咨询、技术服务;计算机系统服务;计算机技术研究与试验发展;计算机技术培训。 (未取得行政许可的项目除外),知乎 - 与世界分享你的知识、经验和见解,,一个真实的网络问答社区，帮助你寻找答案，分享知识。
2,天津美维信息技术有限公司,http://www.meilele.com/zhengzhou/,2017/7/10 20:09,BDV-380179009,95个月,粤ICP备08008334号-1,"计算机信息技术咨询及技术服务;计算机软硬件开发;家具、建材、日用品、五金交电销售;企业管理咨询、企业营销策划;广告业务;国际货运代理(航空、陆路)。 (以上经营范围涉及前置许可的凭许可证件,在有效期限内经营,国家有专项专营规定的按规定办理)。",【美乐乐郑州家具体验馆】郑州家具城_市场_郑州买家具就去美乐乐家具网,"郑州家具 郑州家具城 郑州哪里买家具好 郑州家具市场 美乐乐郑州家具体验馆
","【美乐乐郑州家具体验馆】使用O2O销售模式，为消费者提供欧式,美式,法式,中式等风格床,沙发,衣柜,书桌,餐桌,整体衣柜【线下到店真实体验，线上下单轻松订购】服务。了解更多郑州家具城买家具哪里便宜及郑州家具市场哪里买家具好等家具消费信息，请关注美乐乐郑州家具网。
"
3,深圳市彬讯科技有限公司,http://www.to8to.com,2017/7/10 20:09,BDV-356693371,91个月,粤ICP备08125558号-1,"计算机软硬件、电子产品、电器产品的技术开发、技术咨询与销售,网络软件的技术开发、销售,网页的设计,会务策划,商务信息咨询,展览展示策划,建筑装潢设计,室内设计,室内装修工程的施工,建筑材料、装潢材料、电器设备、机电设备、办公用品、家具、灯具、家居用品的设计与销售,从事广告业务,经营电子商务,工程监理、工程咨询、工程招标代理(以上均不含限制项目)。 信息服务业务。",土巴兔装修网-房子家居室内装修设计_二手房新房装修公司,"室内装修,新房装修,房子装修,装修公司",土巴兔—互联网装修行业领导者，是中国新房、二手房、工装等各类型房屋室内设计装饰半包、整体家装服务的装修网站，家庭居家装潢首选平台，包含装修公司、装修工人的家装网。
4,杭州阿里妈妈软件服务有限公司,https://www.1688.com/,2017/7/10 20:09,BDV-384765922,64个月,浙B2-20120091-2,"区内国际贸易、转口贸易、区内企业间的贸易及贸易代理;区内贸易咨询服务;区内商业性简单加工;市场营销服务(仅限分支机构);服装及其饰物、皮具、箱包、手表、金银饰品、珠宝首饰(毛钻、裸钻除外)、鞋、化妆品、餐具、食品(限预包装食品(不含熟食卤味、冷冻冷藏))、酒、日用百货、口腔和清洁用品、家居用品、电机电气设备、录制和重放设备、光学照相设备、办公用品、家具、运动器械、户外装备、汽车用品、母婴用品、电子产品、机械设备、五金交电、卫生用品、装饰材料、通讯设备、建筑材料、工艺礼品、玩具、摩托车配件、仪器仪表、陶瓷制品、橡胶及其制品、塑料及其制品的批发、网上零售、进出口、佣金代理(拍卖除外)及其他相关配套业务(不涉及国营贸易管理商品,涉及配额许可证管理、专项规定管理的商品按照国家有关规定办理)。 【依法须经批准的项目,经相关部门批准后方可开展经营活动】","阿里巴巴1688.com - 全球领先的采购批发平台,批发网",阿里巴巴，批发网，1688，批发市场，批发，采购，微商，微店，货源,阿里巴巴（1688.com）批发网是全球企业间（B2B）电子商务的著名品牌，为数千万网商提供海量商机信息和便捷安全的在线交易市场，也是商人们以商会友、真实互动的社区平台。目前1688.com已覆盖原材料、工业品、服装服饰、家居百货、小商品等12个行业大类，提供从原料--生产--加工--现货等一系列的供应产品和服务。
5,广州傲群刷业有限公司,http://www.gzaqsy.com,2017/7/10 20:10,BDV-360173426,73个月,粤ICP备12007037号-2,鬃毛加工、制刷及清扫工具制造;塑料制品批发;技术进出口;日用器皿及日用杂货批发;机械配件零售;塑料加工专用设备制造;合成纤维批发;五金产品批发;机械零部件加工;通用机械设备零售;机械配件批发;货物进出口（专营专控商品除外）;其他金属加工机械制造;装饰用塑料、化纤、石膏、布料零售;清洁用品批发;五金零售;金属制品批发;,"
	毛刷,电梯毛刷,条刷,密封刷,工业毛刷-毛刷生产厂家-毛刷行业NO.1
","毛刷,电梯毛刷,条刷,密封刷,工业毛刷,毛刷生产厂家","毛刷、电梯毛刷、条刷、密封刷、工业毛刷等产品畅销国内外,业务遍及50多个国家,傲群是行业发展速度第一,拥有客户最高端的毛刷企业！400-0077-208"
6,上海风报企业征信服务有限公司,https://www.riskstorm.com/,2017/7/10 20:11,BDV-638210400,12个月,沪ICP备16029633号-1,"企业信用征信服务,计算机科技专业领域内的技术开发、技术服务、技术咨询。 【依法须经批准的项目,经相关部门批准后方可开展经营活动】",风报,,风报是一个基于人工智能的企业情报分析和风险控制系统，包括工商、涉诉、税务、行政处罚、投融资、高管变动、企业经营业务等信息。风报在企业对外投资、企业内部管理、渠道管理、内部审计、司法调查、行业研究和日常经营中有广泛的应用
7,厦门昕润斯实业有限公司,http://www.xrsin.com,2017/7/10 20:11,BDV-567099250,4个月,闽ICP备16038670号-1,制冷、空调设备制造;电子元件及组件制造;其他电子设备制造;电气安装;管道和设备安装;石油制品批发(不含成品油、危险化学品和监控化学品);建材批发;其他化工产品批发(不含危险化学品和监控化学品);金属及金属矿批发(不含危险化学品和监控化学品);电气设备批发;其他机械设备及电子产品批发;五金零售;软件开发;信息系统集成服务;广告的设计、制作、代理、发布;自然科学研究和试验发展。,昕润斯实业SICAK希卡克润滑油官网,厦门昕润斯实业有限公司，工业润滑油，化工清洗剂，船舶润滑油，金属加工润滑油，液压油，齿轮油，柴机油，导热油，空压机油，切削油，切削液，乳化油，防锈油，火花机油，合成切削液，高温润滑脂，高温链条油，硅油，硅脂，锂基酯，润滑脂，通用锂基酯，变压器油,厦门昕润斯实业有限公司坐落于素有海上花园之称的厦门，是一家专注于润滑油技术的研发、生产、销售于一体的高新企业，目前与国内外诸多研究机构有真较深的技术交流与合作，我司有着数十年的工程师经验的技术研发团队和行业经验的营销业务精英，为客户提供高端的技术保障和全方位的服务，竭诚为客户高端需求提供最适合的产品，以成熟的技术和产品及多年的经验，为全国乃至全球的工业飞速发展提供解决方案，为客户提供最佳性价比的产品。公司主营sicak润滑油，西克润滑油，希卡克润滑油。
8,长沙维联文化传播有限公司,http://www.qinxue.com,2017/7/10 20:13,BDV-106455172,45个月,湘ICP备13012319号-1,文化活动的组织与策划；教育信息咨询；计算机技术咨询；多媒体系统开发；市场推广；计算机软硬件的销售。（不含前置审批和许可项目，涉及行政许可的凭许可证经营）。,勤学网 - 职业技能高效率在线自学平台,,
9,深圳市晧威胶粘制品有限公司,http://www.hawejd.com,2017/7/10 20:14,BDV-306730614,49个月,粤ICP备13067356号-1,"粘性胶带、不干胶、保护膜、绝缘胶带、电子材料、包装材料的销售;国内贸易,货物及技术进出口.粘性胶带的生产。",晧威黏性胶带专家|PET高温胶带|PI金手指胶带|高温绿胶带|茶色高温胶带|聚酰亚胺胶带|双面胶带|美纹纸胶带,深圳市晧威胶粘制品有限公司|PET高温胶带|PI金手指胶带|高温绿胶带|茶色高温胶带|聚酰亚胺胶带|双面胶带|美纹纸胶带,深圳市晧威胶粘制品有限公司|PET高温胶带|PI金手指胶带|高温绿胶带|茶色高温胶带|聚酰亚胺胶带|双面胶带|美纹纸胶带
10,东莞市新汇明精密电子有限公司,http://www.3mzg.com,2017/7/10 20:14,BDV-118707346,2个月,粤ICP备17053597号-1,研发、加工、生产、销售:电子产品、胶带、保护膜、胶纸、复合材料、导电及导热材料、防震脚垫、包装材料。,东莞市新汇明精密电子有限公司,东莞市新汇明精密电子有限公司,东莞市新汇明精密电子有限公司
